age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
38.0,Private,89814.0,,,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
44.0,Private,160323.0,,,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,7688.0,0.0,40.0,United-States,>50K
18.0,,103497.0,,,Never-married,,Own-child,White,Female,0.0,0.0,30.0,United-States,<=50K
29.0,,227026.0,,,Never-married,,Unmarried,Black,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Private,369667.0,,,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
65.0,Private,184454.0,,,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,6418.0,0.0,40.0,United-States,>50K
36.0,Federal-gov,212465.0,,,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,82091.0,,,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,39.0,United-States,<=50K
58.0,,299831.0,,,Married-civ-spouse,,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
48.0,Private,279724.0,,,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103.0,0.0,48.0,United-States,>50K
20.0,State-gov,444554.0,,,Never-married,Other-service,Own-child,White,Male,0.0,0.0,25.0,United-States,<=50K
43.0,Private,128354.0,,,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,30.0,United-States,<=50K
37.0,Private,60548.0,,,Widowed,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,20.0,United-States,<=50K
34.0,Private,107914.0,,,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,47.0,United-States,>50K
34.0,Private,238588.0,,,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,35.0,United-States,<=50K
25.0,Private,220931.0,,,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43.0,Peru,<=50K
25.0,Private,205947.0,,,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Self-emp-not-inc,432824.0,,,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,90.0,United-States,>50K
22.0,Private,236427.0,,,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
23.0,Private,134446.0,,,Separated,Machine-op-inspct,Unmarried,Black,Male,0.0,0.0,54.0,United-States,<=50K
54.0,Private,99516.0,,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
32.0,Self-emp-not-inc,109282.0,,,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,60.0,United-States,<=50K
46.0,State-gov,106444.0,,,Married-civ-spouse,Exec-managerial,Husband,Black,Male,7688.0,0.0,38.0,United-States,>50K
24.0,Self-emp-not-inc,188274.0,,,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
23.0,Local-gov,258120.0,,,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,43311.0,,,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
65.0,,191846.0,,,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Local-gov,403681.0,,,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
20.0,Private,257509.0,,,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,465326.0,,,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
20.0,State-gov,138371.0,,,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,32.0,United-States,<=50K
54.0,Private,186272.0,,,Married-civ-spouse,Transport-moving,Husband,White,Male,3908.0,0.0,50.0,United-States,<=50K
56.0,Self-emp-inc,131916.0,,,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
18.0,Private,54440.0,,,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
39.0,Private,280215.0,,,Divorced,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
21.0,Private,214399.0,,,Never-married,Other-service,Own-child,White,Female,0.0,1721.0,24.0,United-States,<=50K
22.0,Private,54164.0,,,Never-married,Other-service,Not-in-family,White,Male,14084.0,0.0,60.0,United-States,>50K
21.0,Private,110677.0,,,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
63.0,Private,145985.0,,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
34.0,Local-gov,382078.0,,,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103.0,0.0,50.0,United-States,>50K
42.0,Self-emp-inc,170721.0,,,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178.0,0.0,50.0,United-States,>50K
33.0,Private,269705.0,,,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
30.0,Private,101135.0,,,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
39.0,Private,118429.0,,,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Private,281384.0,,,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
47.0,Local-gov,171807.0,,,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,109912.0,,,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,,<=50K
19.0,Private,105460.0,,,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
46.0,Private,170338.0,,,Separated,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
43.0,Private,102606.0,,,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
55.0,Private,323887.0,,,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,45.0,United-States,>50K
30.0,Private,229636.0,,,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
21.0,Private,388946.0,,,Separated,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
46.0,Private,269034.0,,,Married-civ-spouse,Craft-repair,Husband,Other,Male,0.0,0.0,40.0,Dominican-Republic,<=50K
41.0,Private,75012.0,,,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
69.0,Self-emp-inc,174379.0,,,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
50.0,Private,312477.0,,,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
20.0,Private,72055.0,,,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
45.0,Self-emp-inc,67001.0,,,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
23.0,Private,213734.0,,,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Private,83141.0,,,Separated,Other-service,Not-in-family,White,Male,0.0,1876.0,40.0,United-States,<=50K
44.0,Self-emp-inc,223881.0,,,Married-civ-spouse,Craft-repair,Husband,White,Male,99999.0,0.0,50.0,,>50K
31.0,Self-emp-not-inc,113752.0,,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
43.0,Private,170482.0,,,Separated,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,44.0,United-States,<=50K
55.0,Private,160631.0,,,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,56.0,United-States,>50K
24.0,Federal-gov,228724.0,,,Never-married,Armed-Forces,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
59.0,Private,292946.0,,,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,25.0,United-States,<=50K
59.0,Federal-gov,98984.0,,,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
20.0,Private,479296.0,,,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
25.0,Private,235218.0,,,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
59.0,Private,272087.0,,,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
20.0,Private,169699.0,,,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
51.0,,189762.0,,,Married-civ-spouse,,Wife,White,Female,0.0,0.0,18.0,United-States,<=50K
33.0,Private,202191.0,,,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,35.0,United-States,<=50K
22.0,Private,212261.0,,,Never-married,Transport-moving,Own-child,Black,Male,0.0,0.0,39.0,United-States,<=50K
52.0,Local-gov,155233.0,,,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,28.0,United-States,<=50K
41.0,Local-gov,201520.0,,,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Private,154236.0,,,Never-married,Transport-moving,Own-child,White,Male,2597.0,0.0,40.0,United-States,<=50K
19.0,Private,289227.0,,,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,16.0,United-States,<=50K
18.0,Private,217439.0,,,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,28.0,United-States,<=50K
18.0,Private,179020.0,,,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,48.0,United-States,<=50K
28.0,Private,149624.0,,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
20.0,,30796.0,,,Never-married,,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
40.0,Private,103541.0,,,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,206721.0,,,Never-married,Handlers-cleaners,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
46.0,Private,96773.0,,,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Private,180019.0,,,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
43.0,Private,179866.0,,,Divorced,Sales,Unmarried,White,Female,0.0,0.0,40.0,United-States,>50K
31.0,Local-gov,198770.0,,,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,60.0,United-States,<=50K
18.0,Private,219256.0,,,Never-married,Sales,Own-child,White,Female,0.0,0.0,25.0,United-States,<=50K
19.0,Private,248730.0,,,Never-married,Protective-serv,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K
41.0,Private,110732.0,,,Divorced,Tech-support,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,181020.0,,,Divorced,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
